ENSG00000162390	ACOT11
ENSG00000101198	NKAIN4
ENSG00000143333	RGS16
ENSG00000135824	RGS8
ENSG00000134108	ARL8B
ENSG00000078018	MAP2
ENSG00000076053	RBM7
ENSG00000185272	RBM11
ENSG00000185883	ATP6V0C
ENSG00000166128	RAB8B
ENSG00000227345	PARG
ENSG00000013561	RNF14
ENSG00000138134	STAMBPL1
ENSG00000166401	SERPINB8
ENSG00000112081	SRSF3
