ENSG00000157216	SSBP3
ENSG00000101197	BIRC7
ENSG00000135828	RNASEL
ENSG00000143333	RGS16
ENSG00000134107	BHLHE40
ENSG00000144407	PTH2R
ENSG00000166741	C11orf71
ENSG00000188992	LIPI
ENSG00000162065	TBC1D24
ENSG00000185088	RPS27L
ENSG00000197444	OGDHL
ENSG00000113555	PCDH12
ENSG00000152766	ANKRD22
ENSG00000221887	HMSD2
ENSG00000112079	STK38
