ENSG00000162391	FAM151A
ENSG00000101199	ARFGAP1
ENSG00000135824	RGS8
ENSG00000135838	NPL
ENSG00000134109	EDEM1
ENSG00000144406	UNC80
ENSG00000076043	REXO2
ENSG00000243064	ABCC13
ENSG00000162066	AMDHD2
ENSG00000138613	APH1B
ENSG00000204152	TIMM23B
ENSG00000113552	GNPDA1
ENSG00000107796	ACTA2
ENSG00000081138	CDH7
ENSG00000124762	CDKN1A
